CT_FIPS,PM25,OZONE,DSLPM,CANCER,RSEI_AIR,PTRAF,HI,EBLL,Freight,TRI,RMP,Psites,Waste,PWDis,CF,POC,NoIns,HBLI,LowInc,LowEd,Unemp,LingIso,CHD,Asthma,Disability,YoungAge,OldAge,LBW
17031691100,10.18396027,65.8898,0.506945813,30,6219.957321,998.9718125,0.560287253,3.575100172,0.231668664,223147.9471,0,0.033359373,0.005357721,4.611202405,0.494931519,0.991068361,9.240810718,0.315375982,0.425626932,11.4,33.50649351,0,6.900126236,13.60000482,0.205084164,0.26279629,0.115424253,12.00046883
17031691200,10.19974767,65.94941,0.495611204,30,6415.68662,590.8037162,0.570287329,3.575613791,0.339198239,2590878.219,0,0.431723367,0.221172786,70.86888591,0.745580905,0.995348837,8.744186047,0.523269012,0.42,11,16.41182467,0.8,6.90004391,13.99990278,0.212093023,0.313488372,0.135813953,14.70022684
17031691300,10.17586932,66.03193,0.517197452,20,5933.628098,486.429082,0.56025671,3.573837671,0.000182462,0,0,0.474121868,0.02917846,143.1283718,0.403226223,1,11.28834356,0.403539823,0.20204499,8.9,13.73626374,0.5,7.399987661,11.80001924,0.207361963,0.183231084,0.235173824,11.40035694
17031691400,10.15438712,66.10129,0.516178456,20,5767.129571,170.2163318,0.560256178,3.57383744,0.023483874,0,0,0.778599828,0,150.7421683,0.189676599,1,7.648320229,0.418110236,0.202644746,4.5,15.42119565,1.5,7.199984365,12.30001774,0.124017155,0.279485347,0.123302359,16.40035893
17031691500,10.12887616,66.14971,0.507377409,20,5756.757108,195.2291865,0.550246788,3.567898375,0.311334937,635312.3304,0,0.338715473,0,186.4497821,0.701707244,0.963036963,6.593406593,0.563348416,0.48001998,14,36.94196429,0,8.093985368,14.08803881,0.207292707,0.315684316,0.121878122,13.08006086
17031700100,10.3099937,65.64994,0.518338025,30,16686.76664,290.9868002,0.700308453,0.926272917,1.446891626,10730473.63,0,0.012645811,0.044101016,6.984098007,3.486257724,1,15.35291087,0.282026769,0.137548387,24.3,8.368421053,13.8,4.500048716,11.19997631,0.054611025,0.282071097,0.060535806,8.200175849
17031700200,10.35904603,65.72997,0.490562942,30,20461.00991,283.8200326,0.740590866,0.926291092,0.41399369,2544501.118,0,0.006234426,0,7.0158367,1.586528879,0.937598623,14.54597619,0.329436769,0.152919237,21,15.84332067,15.1,4.400206531,9.099917102,0.113613542,0.292927844,0.082771482,7.999432392
17031700301,10.37532466,65.77458,0.488000145,30,13227.65203,197.4070268,0.680615038,0.924795772,0.010696875,0.018499634,0,0.079511445,0,6.694018893,0.023275711,0.856417152,12.04243239,0.327713383,0.107421875,29.8,10.59967585,24.7,4.899950458,8.900027264,0.090542358,0.322127596,0.058419244,5.40036486
17031700302,10.36805616,65.80973,0.484558158,30,10163.80238,297.8075949,0.700607323,0.924804852,0.153669938,0,0,0.151279034,0,40.36200513,0.013280736,0.782975207,11.30578512,0.281456954,0.090578512,22.7,7.528957529,16.2,5.999968083,9.399988404,0.115206612,0.289090909,0.154545455,6.299970416
17031700401,10.34818822,65.72832,0.488302636,30,12906.22651,241.6495919,0.700408283,0.924795716,0.743834607,11424.83409,0,0.13445495,0,8.059267986,1.939945562,0.964857651,15.05041518,0.367601246,0.195729537,21,12.24601867,13.7,4.500006382,10.69999376,0.080664294,0.242289442,0.101571767,7.40013173
