FIPS_Num,PM25,OZONE,DSLPM,CANCER,RSEI_AIR,PTRAF,HI,EBLL,POC,NoIns,HBLI,LowInc,LowEd,Unemp,LingIso,CHD,Asthma,Disability,YoungAge,OldAge,LBW,Freight,TRI,RMP,Psites,Waste,PWDis,CF
17031040401,9.610615616,66.60046,0.484238567,20,6527.926421,293.7107476,0.730369287,1,0.423491693,0.062372486,0.184479238,0.104124013,0.089853987,0.030967127,0.040844112,2.7,8.1,0.05362868,0.18944914,0.12095599,6.5978621,0.012398062,0.015108068,0,0.326407522,0,15.81802217,0.100160188
17031040402,9.581888219,66.70736,0.480479317,20,6298.703199,99.71561548,0.770369894,1,0.26129666,0.066944688,0.213975523,0.163091068,0.007765531,0.059906568,0.026450849,1.9,8.2,0.075504829,0.088190351,0.063086662,6.5978621,0.246632746,0.283803169,0,0.711338953,0,9.834240712,0.40277484
17031040600,9.62395863,66.62386,0.495224109,20,6719.519137,223.9988605,0.720381697,1,0.248114901,0.082585278,0.298519096,0.128545781,0.028130672,0.024507448,0,2.3,8.1,0.06535009,0.128545781,0.083303411,6.5978621,0.032222883,0.039080288,0,0.442971525,0,16.85502593,0.368937757
17031040700,9.664007123,66.57834,0.499210685,20,7051.753996,280.7681914,0.730379047,1,0.288877034,0.041611096,0.221360382,0.173551502,0.035294118,0.06344294,0.056085919,2.6,8.4,0.056548413,0.216857829,0.074686583,6.5978621,0,0.014185428,0,0.43157694,0,65.58561229,0.336618741
17031040800,9.680786575,66.56299,0.516528427,20,7074.311986,133.8682064,0.730390369,1,0.298034242,0.039329465,0.174479167,0.093488072,0.028115502,0.03,0.014322917,3.2,8.4,0.043197937,0.110336081,0.07736208,6.5978621,0,0.024918363,0,0.205268708,0,79.73813677,0.179110663
17031040900,9.653082466,66.59878,0.50148232,20,6819.246667,92.78722434,0.7203805,1,0.180957129,0.129611167,0.383033419,0.150548355,0.01549907,0.067708333,0.057412168,2.4,8.4,0.07328016,0.114157527,0.109172483,6.5978621,0.031708721,0.122953822,0,0.217263347,0,18.00306049,0.468747519
17031050100,9.644990959,66.65689,0.559844514,30,6873.379348,135.9909161,0.73037906,0.4,0.128929566,0.040588938,0.18362069,0.097095105,0.015207132,0.035430989,0.00862069,2.2,8.3,0.042578591,0.189812973,0.045762037,6.1903077,0.194621555,0.170700681,0,0.071111584,0,11.8917849,1.164924601
17031050200,9.672580274,66.53197,0.566838883,30,7149.356988,216.5179683,0.720380919,0.4,0.249909845,0.023981248,0.154294032,0.083303282,0.070688281,0.043492807,0.03930131,3.4,8.4,0.114496935,0.292463036,0.126938334,6.1903077,0.063955313,0.27559057,0,0.068368522,0,20.55063945,0.794798222
17031050300,9.692815616,66.48895,0.575389861,30,7332.971237,300.8357099,0.730390777,0.4,0.425592082,0.03534818,0.156537753,0.079488999,0.012506013,0.023702032,0.015653775,3.1,8.3,0.080240368,0.250972075,0.123365147,6.1903077,0,0.055423158,0,0.057758339,0,69.38162604,0.193215128
17031050500,9.705966027,66.37512,0.612007754,30,7867.533926,239.6930553,0.730391918,0.4,0.158107328,0.029428736,0.161823647,0.080162256,0.011851016,0.024366472,0.014028056,2.7,8.2,0.042508175,0.29005578,0.072898634,6.1903077,0.063699378,0.174884179,0,0.067629439,0.002409166,17.63496393,0.563471846
