Asthma,CHD,Disability,LBW,OldAge,YoungAge,NoIns,HBLI,LowInc,LowEd,Unemp,LingIso,Freight,PWDis,Waste,Psites,RMP,TRI,CF,CANCER,HI,OZONE,PM25,DSLPM,PTRAF,RSEI_AIR,EBLL,SenPop,SEFac,EnvCond,EnvExp,PopChar,PolBur,Index
0.5424,0.3047,0.6966,0.3224,0.5158,0.1226,0.5689,0.6726,0.7712,0.2984,0.6751,0.6043,0.0,0.3439,0.5992,0.1795,0.0,0.0,0.1416,0.0,0.2845,0.9735,0.0341,0.0885,0.9001,0.086,0.4576,0.4174166666666666,0.5984166666666666,0.18059999999999996,0.3530375,0.5079166666666666,0.2955583333333333,0.15011900347222218
0.0619,0.6397,0.445,0.1542,0.9646,0.1075,0.2819,0.6372,0.4513,0.1378,0.6726,0.4387,0.0,0.335,0.6258,0.0898,0.0,0.0,0.0518,0.0,0.244,0.981,0.0367,0.0632,0.9115,0.0544,0.4513,0.39548333333333335,0.4365833333333333,0.1574857142857143,0.3427624999999999,0.41603333333333337,0.2810035714285714,0.1169068525
0.5183,0.7863,0.8597,0.6738,0.9709,0.0101,0.2668,0.3831,0.7674,0.402,0.6346,0.7965,0.0,0.3654,0.7446,0.3363,0.0,0.0,0.2617,0.0,0.2743,0.9709,0.0417,0.0872,0.8255,0.1024,0.4551,0.6365166666666666,0.5417333333333333,0.24400000000000002,0.3446375,0.5891249999999999,0.31109166666666666,0.18327187812499995
0.0885,0.7446,0.9039,0.0986,0.9608,0.0051,0.1201,0.7168,0.0645,0.2971,0.6865,0.6258,0.0,0.3426,0.885,0.2794,0.0,0.0,0.2061,0.0,0.2503,0.9798,0.0329,0.0594,0.8723,0.0619,0.4627,0.4669166666666667,0.4184666666666666,0.24472857142857143,0.33991249999999995,0.44269166666666665,0.30818452380952377,0.1364307204861111
0.0341,0.1884,0.2073,0.4058,0.7661,0.1719,0.2389,0.3325,0.3856,0.2048,0.2465,0.5474,0.3059,0.4147,0.6372,0.7092,0.0,0.3805,0.4678,0.0,0.3249,0.957,0.048,0.1087,0.6662,0.1264,0.4539,0.29560000000000003,0.32595,0.4164714285714286,0.3356375,0.310775,0.3625821428571429,0.1126814654464286
0.1138,0.201,0.268,0.5626,0.6056,0.1138,0.4349,0.2617,0.0986,0.3148,0.1909,0.4526,0.6081,0.6802,0.0,0.5272,0.0,0.804,0.5461,0.2174,0.9924,0.9469,0.0531,0.1226,0.5626,0.1757,0.4501,0.31079999999999997,0.29225000000000007,0.4522285714285715,0.44009999999999994,0.30152500000000004,0.4441428571428571,0.133920175
0.1997,0.158,0.3919,0.3274,0.2655,0.1163,0.7408,0.4109,0.3249,0.2377,0.1656,0.6283,0.6119,0.5107,0.0,0.6587,0.0,0.7231,0.5398,0.0,0.7939,0.9368,0.0607,0.1694,0.7067,0.2174,0.3413,0.24313333333333334,0.4180333333333333,0.43488571428571426,0.403275,0.33058333333333334,0.4138119047619047,0.13679931884920635
0.1441,0.1808,0.4273,0.2212,0.4008,0.0834,0.2857,0.4551,0.6435,0.1542,0.1833,0.4728,0.292,0.4387,0.6359,0.6726,0.0,0.3578,0.4817,0.0,0.2933,0.952,0.0582,0.1492,0.5651,0.1542,0.3401,0.24293333333333333,0.36576666666666663,0.4112428571428572,0.31401249999999997,0.30435,0.346422619047619,0.10543372410714284
0.5891,0.7889,0.8989,0.3767,0.2035,0.3692,0.7838,0.89,0.7952,0.8003,0.1011,0.8003,0.0,0.397,0.7724,0.598,0.0,0.0,0.3717,0.0,0.2491,0.9621,0.0493,0.091,0.6119,0.1365,0.3388,0.5377166666666667,0.6951166666666667,0.3055857142857143,0.30483749999999993,0.6164166666666667,0.3050869047619047,0.1880606528769841
0.445,0.7231,0.8736,0.4273,0.9216,0.0746,0.426,0.4753,0.5727,0.3818,0.1315,0.5815,0.0,0.3628,0.9279,0.6549,0.0,0.0,0.2162,0.0,0.263,0.9684,0.043,0.7472,0.8698,0.115,0.3426,0.5775333333333333,0.4281333333333333,0.3088285714285714,0.418625,0.5028333333333334,0.3820261904761905,0.19209550277777782
0.1846,0.3464,0.3413,0.0531,0.8786,0.0329,0.153,0.4501,0.1618,0.1466,0.0228,0.2718,0.0,0.3451,0.6207,0.7788,0.0,0.0,0.0645,0.0,0.3198,0.9646,0.0518,0.8293,0.8647,0.1694,0.3325,0.30615,0.20101666666666665,0.25844285714285714,0.44151250000000003,0.2535833333333333,0.3804892857142857,0.09648574136904761
0.5879,0.7434,0.8786,0.5942,0.7206,0.4475,0.5575,0.8142,0.9684,0.6688,0.4437,0.7863,0.0,0.3717,0.6068,0.6448,0.0,0.0,0.0822,0.0,0.4134,0.9595,0.0506,0.8129,0.804,0.1643,0.3338,0.6620333333333334,0.7064833333333334,0.24364285714285713,0.4423125,0.6842583333333334,0.3760892857142857,0.257342227827381
0.6473,0.493,0.7737,0.732,0.2832,0.5032,0.871,0.5992,0.8483,0.4943,0.4551,0.6865,0.0,0.3755,0.0,0.5638,0.0,0.0,0.0329,0.2174,0.488,0.9583,0.0556,0.8255,0.5613,0.2212,0.33,0.5720666666666666,0.6590666666666667,0.1388857142857143,0.4571625,0.6155666666666666,0.35107023809523813,0.21610713623015873
0.5411,0.1972,0.4513,0.531,0.1833,0.0708,0.3401,0.3881,0.4526,0.2301,0.2377,0.4286,0.2541,0.4564,0.0,0.7282,0.0,0.2212,0.4159,0.0,0.268,0.9305,0.0632,0.2111,0.2149,0.2276,0.3312,0.32911666666666667,0.3462,0.29654285714285716,0.2808125,0.33765833333333334,0.28605595238095244,0.09658917612103177
