Asthma,CHD,Disability,LBW,OldAge,YoungAge,POC,NoIns,HBLI,LowInc,LowEd,Unemp,LingIso,Freight,PWDis,Waste,Psites,RMP,TRI,CF,CANCER,HI,PM25,DSLPM,PTRAF,RSEI_AIR,EBLL,SenPop,SEFac,EnvCond,EnvExp,PopChar,PolBur,Index
0.4071,0.6359,0.086,0.6713,0.4855,0.7497,0.3868,0.8989,0.2718,0.2111,0.4387,0.0784,0.7674,0.0,0.8559,0.0,0.3704,0.0,0.0,0.3211,0.0,0.2528,0.0392,0.0265,0.598,0.1707,0.7383,0.5059166666666667,0.4361571428571428,0.22105714285714284,0.2607857142857143,0.47103690476190474,0.24754285714285715,0.1166018212244898
0.0834,0.5992,0.1176,0.5259,0.9583,0.3628,0.1735,0.263,0.6549,0.354,0.3325,0.421,0.5044,0.0,0.9494,0.0,0.0,0.0,0.4412,0.0607,0.0,0.2756,0.0733,0.158,0.7054,0.4248,0.7269,0.44120000000000004,0.3861857142857143,0.20732857142857145,0.3377142857142857,0.4136928571428572,0.29425238095238093,0.12173010819727892
0.488,0.737,0.3603,0.5727,0.5601,0.981,0.3762,0.2566,0.7143,0.4336,0.8015,0.6131,0.9229,0.0,0.9444,0.0,0.3034,0.0,0.2478,0.1391,0.0,0.2794,0.0594,0.0923,0.7042,0.3818,0.7282,0.6165166666666667,0.5883142857142858,0.23352857142857145,0.32075714285714285,0.6024154761904763,0.2916809523809524,0.17571311982426308
0.402,0.5335,0.5322,0.488,0.3919,0.4121,0.4013,0.8508,0.6448,0.4147,0.5929,0.1745,0.8394,0.0,0.8571,0.0,0.1618,0.0,0.2111,0.4311,0.0,0.5284,0.0619,0.1327,0.7231,0.3477,0.7408,0.45995,0.5597714285714285,0.2373,0.3620857142857143,0.5098607142857142,0.32049047619047616,0.16340550311224486
0.5221,0.598,0.488,0.3198,0.1669,0.8104,0.5179,0.9431,0.5752,0.579,0.9532,0.6119,0.8875,0.0,0.8534,0.0,0.268,0.0,0.0,0.4513,0.0,0.2781,0.0544,0.0746,0.6473,0.292,0.7307,0.48419999999999996,0.7239714285714286,0.22467142857142858,0.29672857142857145,0.6040857142857143,0.27270952380952385,0.16473992748299324
0.5904,0.4501,0.1327,0.7472,0.1504,0.7611,0.5351,0.9735,0.7421,0.6991,0.7762,0.0872,0.8571,0.268,0.8142,0.6296,0.0594,0.0,0.2693,0.2668,0.0,0.2807,0.0455,0.0657,0.6536,0.2364,0.7396,0.47198333333333325,0.6671857142857143,0.32961428571428575,0.28878571428571426,0.5695845238095237,0.3023952380952381,0.17223964769274375
0.5866,0.7168,0.7408,0.5171,0.6675,0.5588,0.4477,0.7472,0.7004,0.7863,0.6814,0.1391,0.9027,0.6511,0.7977,0.7434,0.0,0.0,0.3982,0.402,0.0,0.292,0.0379,0.0582,0.689,0.2301,0.7295,0.6312666666666668,0.629257142857143,0.4274857142857143,0.2909571428571428,0.6302619047619049,0.33646666666666664,0.21206212222222226
0.5158,0.5891,0.6941,0.3502,0.8357,0.1985,0.4265,0.7155,0.8293,0.5942,0.5145,0.8344,0.8483,0.0,0.7446,0.0,0.2339,0.0,0.0,0.0367,0.0,0.2465,0.0215,0.0544,0.7421,0.0468,0.4652,0.5305666666666667,0.6803857142857143,0.14502857142857145,0.22521428571428573,0.6054761904761905,0.1984857142857143,0.12017837414965987
0.464,0.3603,0.3363,0.7206,0.8559,0.0632,0.4119,0.6359,0.804,0.6953,0.5815,0.5386,0.7509,0.0,0.7408,0.0,0.1568,0.0,0.0,0.0506,0.0,0.2478,0.0177,0.0367,0.7535,0.0493,0.4602,0.4667166666666667,0.6311571428571429,0.13545714285714286,0.22359999999999997,0.5489369047619048,0.1942190476190476,0.10661400284580498
0.4893,0.1353,0.469,0.0379,0.2453,0.0354,0.3232,0.4627,0.6953,0.4349,0.158,0.5019,0.4121,0.0,0.7421,0.0,0.0986,0.0,0.0,0.0594,0.0,0.2453,0.0164,0.0202,0.8028,0.0278,0.4564,0.2353666666666667,0.4268714285714286,0.12858571428571428,0.22412857142857143,0.33111904761904765,0.19228095238095236,0.0636678858276644
0.6245,0.1871,0.3717,0.1024,0.6233,0.0114,0.2384,0.5853,0.9001,0.8167,0.4678,0.5803,0.4121,0.0,0.7573,0.0,0.0721,0.0,0.0,0.0759,0.0,0.2263,0.0126,0.0164,0.8205,0.0265,0.4842,0.32006666666666667,0.5715285714285715,0.1293285714285714,0.22664285714285715,0.44579761904761905,0.1942047619047619,0.0865760204648526
0.268,0.2301,0.1391,0.196,0.3793,0.1757,0.2,0.7889,0.22,0.378,0.2149,0.2503,0.6346,0.3578,0.7661,0.6283,0.2718,0.0,0.2895,0.4425,0.0,0.2668,0.024,0.0379,0.6384,0.0695,0.4665,0.23136666666666664,0.3838142857142857,0.39371428571428563,0.2147285714285714,0.3075904761904762,0.27439047619047613,0.08439989723356008
0.4311,0.5765,0.5828,0.1113,0.5853,0.5284,0.4331,0.7927,0.4893,0.5575,0.4817,0.4829,0.7762,0.555,0.78,0.6903,0.067,0.0,0.3793,0.3439,0.0,0.2895,0.0316,0.0531,0.7939,0.1125,0.4678,0.46923333333333334,0.5733428571428572,0.4022142857142858,0.24977142857142856,0.5212880952380953,0.3005857142857143,0.15669175445578232
0.2857,0.3375,0.3186,0.7219,0.4753,0.2908,0.2278,0.6536,0.2288,0.531,0.1972,0.1252,0.6561,0.5752,0.7838,0.0,0.3287,0.0,0.7067,0.603,0.0,0.8786,0.0442,0.0898,0.8129,0.1416,0.4488,0.40496666666666664,0.37424285714285715,0.42819999999999997,0.34512857142857145,0.3896047619047619,0.3728190476190476,0.14525207628117914
0.1555,0.1643,0.5095,0.4336,0.2731,0.2111,0.2199,0.3906,0.1416,0.1745,0.2693,0.0455,0.5664,0.3338,0.7547,0.0,0.7054,0.0,0.4425,0.3906,0.0,0.3085,0.0354,0.0834,0.8142,0.1037,0.4614,0.29118333333333335,0.25825714285714285,0.37528571428571433,0.2580857142857143,0.2747202380952381,0.297152380952381,0.081633772845805
0.5967,0.7649,0.5752,0.5297,0.6258,0.2933,0.3815,0.2832,0.7547,0.4665,0.5866,0.3161,0.7434,0.0,0.7484,0.0,0.3603,0.0,0.0,0.0544,0.0,0.2516,0.0253,0.0733,0.7509,0.048,0.4589,0.5642666666666667,0.5045714285714286,0.16615714285714286,0.22971428571428573,0.5344190476190476,0.20852857142857142,0.11144164054421768
0.4665,0.1669,0.4766,0.5145,0.4046,0.2225,0.355,0.8015,0.6283,0.5259,0.3325,0.2592,0.7408,0.0,0.3489,0.5499,0.3148,0.0,0.0,0.1252,0.0,0.2832,0.0291,0.0796,0.871,0.0961,0.4526,0.37526666666666664,0.5204571428571428,0.19125714285714285,0.25880000000000003,0.44786190476190474,0.2362857142857143,0.10582337006802721
